,bld1,bld2,bld3,bld4,bld5,bld6,bld7,bld8,bld9,bld10,date,ist,segmentid
130,5.197536,5.477714,6.033297,6.313474,6.318247,6.323019,6.052386,6.057158,6.061931,6.066703,4.0,6.27,236.0
131,6.071476,5.800843,5.805615,5.810387,5.539755,5.544527,5.549299,5.554072,5.558844,5.839022,4.0,5.66,236.0
132,5.843794,5.848566,5.853339,5.858111,5.862883,5.867656,5.872428,5.877201,5.606568,5.886745,4.0,5.88,236.0
133,5.891518,5.620885,5.625657,5.355024,5.359797,5.639974,5.644747,5.649519,5.654291,5.659064,4.0,5.66,236.0
134,5.663836,5.668608,5.673381,5.402748,5.682925,5.687698,5.69247,5.697243,5.702015,5.982193,4.0,5.55,236.0
135,5.986965,6.267142,6.271915,6.276687,6.28146,6.286232,6.291004,6.295777,6.300549,6.305321,4.0,6.16,236.0
0,9.71,9.934039,9.709594,9.667331,9.683757,9.777019,9.805206,9.836694,9.823382,8.956476,0.0,9.77,237.0
1,8.823973,8.055348,7.901812,7.657585,6.854162,6.595735,6.300784,6.021249,5.753615,5.618405,0.0,5.83,237.0
2,5.584961,5.863862,5.881144,5.913903,6.08509,6.385407,6.618471,6.881017,7.247688,7.531029,0.0,8.44,237.0
3,7.970275,7.183572,7.487029,7.653156,7.61645,7.721243,7.77875,7.84033,7.904171,7.955417,0.0,8.44,237.0
4,8.018711,7.965505,7.801965,7.644425,7.477552,7.532725,7.431139,6.987813,6.878559,6.609853,0.0,6.66,237.0
5,6.285147,5.957941,5.567234,5.238028,4.959201,4.739948,4.568287,4.406701,4.248995,4.243788,0.0,4.55,237.0
6,4.189581,4.141041,4.190501,4.253008,4.470421,4.755928,4.972341,5.147635,5.415428,5.697722,0.0,6.33,237.0
7,5.985182,6.209976,6.703481,6.887229,6.836737,6.895483,6.948777,6.954071,7.165863,7.759156,0.0,8.1,237.0
8,7.792451,7.476292,7.468038,7.529878,7.685625,7.696419,7.651712,7.281507,7.1033,7.155592,0.0,7.38,237.0
9,7.102433,6.832514,6.400688,6.227267,6.33556,6.021355,5.741148,5.78694,5.522068,5.467241,0.0,5.88,237.0
10,5.622987,5.737494,5.430409,5.473701,5.636828,5.534122,5.428749,5.273209,5.100716,4.99713,0.0,5.05,237.0
11,4.829137,4.553717,4.39451,4.227471,4.335596,4.340224,4.072351,3.905858,4.014937,4.12961,0.0,4.38,237.0
12,4.183358,4.462317,4.80411,4.969904,5.188031,5.526824,5.870997,6.086411,6.263752,6.377499,0.0,6.66,237.0
13,6.490292,6.327754,6.386713,6.448506,6.4533,6.56614,6.61722,6.621727,6.518141,6.241935,0.0,6.16,237.0
14,6.023729,5.855689,5.700982,5.698442,5.591282,5.487696,5.378702,5.321616,5.214243,4.99887,0.0,5.11,237.0
15,4.997996,4.94279,4.943583,5.056423,5.271836,5.34101,5.615422,6.011049,6.453009,6.67947,0.0,7.1,237.0
16,7.004929,7.772721,8.411562,8.849309,9.19165,9.412564,9.629821,9.901401,10.273834,9.564566,0.0,9.94,237.0
